text,date,label,label_name,id
"The {@Clinton LumberKings@} beat the {@Cedar Rapids Kernels@} 4-0 in Game 1 of the Western Division finals. Evan Edwards hit a 2-run HR. WP Josh Roberson: 5 IP, 3 H, 0 R, 0 BB, 10 K #MWLplayoffs #MWLscoreboard",2019-09-08,4,sports_&_gaming,1170516324419866624
Anyone know why the #Dodgers #Orioles game next Thursday 9/12 is on Fox?? That’s arguably the last game on the entire schedule I’d imagine being on Fox. {@Bill Shaikin@} {@Eric Stephen@} {@David Vassegh@},2019-09-08,4,sports_&_gaming,1170516711411310592
I voted #WeWantNCAAFootball on {{USERNAME}} . It’s the best video game! {{URL}},2019-09-08,4,sports_&_gaming,1170517092489187328
Streaming a new game #minionmasters come stop by and join me!! {{USERNAME}} {{USERNAME}} #FearThePack #supportsmallstreamers #SmallStreamersConnect #smallstreamer #twitchaffiliate #twitch #twitchprime #subtember,2019-09-08,4,sports_&_gaming,1170546366566846464
Three unanswered goals by {{USERNAME}} has tied the game for {{USERNAME}} 9-9. #MannCup,2019-09-08,4,sports_&_gaming,1170546386242342912
"Great wins yesterday for {{USERNAME}} 1s stay up, and 2s goes to last game of season. Great to see Callum Bennett with an impressive 65not out to see us home especially being 23-4. Youth stepping up!! #earlswoodcc #cricket ",2019-09-08,4,sports_&_gaming,1170576010120769536
Refreshing twitter so hard right now on the gopher game.   #atawedding {{USERNAME}},2019-09-08,4,sports_&_gaming,1170576490452459520
RagingGirlGamer {{USERNAME}} now featured on #BinxTV. Visit their #Twitch #stream to earn #BinxCoins and for a chance to win a #free #steam #game! {{URL}},2019-09-08,4,sports_&_gaming,1170576762410946560
Game was there to be won and {@Cronulla Sharks@} had a better handle on what was needed. {@Wests Tigers@} handling/completion not good enough to win an {@NRL@} match let alone play finals. I just hope we can build on this season and under Maguire I believe that s possible #NRLTigersSharks,2019-09-08,4,sports_&_gaming,1170576842052591617
"The #Dbacks, marked by mediocrity for four months, are hotter than any team in the game right now. In tonight s  emergency  episode, {{USERNAME}} answers many of your questions and poses a few new ones. Tune in here: {{URL}} ",2019-09-08,4,sports_&_gaming,1170577365467983872
Wondering if {@Big Cat@} stayed up for the Washington/Cal game? #Pac12InTheDark,2019-09-08,4,sports_&_gaming,1170605992406437888
⚽️Pre-Season Fixture⚽️ {{USERNAME}} Vs {{USERNAME}} Our third pre-season game this morning after a win last week against {{USERNAME}} hopefully we get another good pre-season result ahead of the new season and no silly mistakes as last week #COYB,2019-09-08,4,sports_&_gaming,1170607600611803136
Y’all leave {@50cent@} alone about that theme song. He done change the song back to the Joe version. ‍♀️ #power,2019-09-08,2,pop_culture,1170636385214226432
First game at {{USERNAME}} a 40-0 win over Black Swans. #fastandfree,2019-09-08,4,sports_&_gaming,1170637178642337792
"The Wellington Cowboys are back. For the first time since 1994 the Cowboys won the #Group11 first grade title. In a performance worthy of the occasion, the Cowboys downed minor premiers Dubbo CYMS to spark emotional celebrations. {{USERNAME}} {{USERNAME}} {{URL}} ",2019-09-08,4,sports_&_gaming,1170637424776470531
"Tunisia won their second Classification game, 86-84 against Angola. This means #Dtigers will have to win the Host China at the Classification game by 1pm today to get the ball running for {@Tokyo2020@} we Believe in you guys! {{USERNAME}} {{USERNAME}}  {@Colin NOT Collins@} {{USERNAME}} ",2019-09-08,4,sports_&_gaming,1170637889320968192
Game Day! Good luck to the {@Belfast Giants@} tonight in Augsburg. Wish I could be there #WeAreGiants,2019-09-08,4,sports_&_gaming,1170667625120182272
Check out Smurfs Race to Smurf Village Game #PressmanToy {{URL}} via {{USERNAME}},2019-09-08,4,sports_&_gaming,1170668039538401281
"T-33 days until #saveagainstfear2019  One of the sessions {{USERNAME}} ran at SAFe was #deadlands I joined in like usual, and was in a party with two of the people in his home game. We dealt with a train heist, and it was a blast. I was then invited to join their home game!",2019-09-08,4,sports_&_gaming,1170697740332019712
Game Day!  Wish we could see {@LaAdrian Waddle@} suit up today.  Rest up and get better soon!!!! {{USERNAME}} Hope we can hear you cheering from WNY!!!!  #BringIt #GoBills,2019-09-08,4,sports_&_gaming,1170697822678802434
Game day!!! {@Ito Smith@} #NFL100 #InBrotherhood #RiseUp #AtlantaFalcons #NFLKickoff @ Mercedes-Benz Stadium {{URL}},2019-09-08,4,sports_&_gaming,1170697974697078785
Still time to get your bites of happyness before the game starts. We are doing a demo today at {{USERNAME}} Palm Beach Gardens. Come on by!!  #happylicious #bitesofhappyness #demoday #groceryshopping #palmbeachgardens… {{URL}},2019-09-08,4,sports_&_gaming,1170728233282809857
The Game AI Show is live now - come listen to {@Luke Dicken@} deconstruct #GameAI and #GameDev! {{URL}},2019-09-08,4,sports_&_gaming,1170758295713239041
". {@Rice Football@} Week 2 is in the books.  | Rest of C-USA | {{URL}} | Next Up, Tom Stewart? | {{URL}} | Game Recap | {{URL}} #GoOwls #IntellectualBrutality",2019-09-08,4,sports_&_gaming,1170758566917156864
100 photos from Women s 3-nations final game – in Salo. {{URL}} #floorball #salibandy {{USERNAME}} {{USERNAME}},2019-09-08,4,sports_&_gaming,1170758591818665984
#flyeaglesfly {@Brian Dawkins@} The ENTIRE offseason plus camp to prepare for 1st game of the season. And we see this .... sad,2019-09-08,4,sports_&_gaming,1170758594268188673
". If he keeps it up,#Richardson is going to lose this game for the {@Cleveland Browns@} . 3 penalties in last 5 mins of play.",2019-09-08,4,sports_&_gaming,1170758678879887361
"Sunday XI: 258-6 dec (Winslet 76, Mason 77*) - 35.5 overs  Drew with {{USERNAME}} Sunday XI: 130-9 - 45 overs  Final game of the season next Sunday vs {{USERNAME}} , all welcome up at the #HCG to see in the Autumn!",2019-09-08,4,sports_&_gaming,1170788695739424770
Game night is here. 8:00 @ Confed vs {{USERNAME}} #royalsrule #winning #groab,2019-09-08,4,sports_&_gaming,1170818570986479616
I just really hope my {@Dallas Cowboys@} don’t let up. Don’t be like prior years and let teams back in it. Even if giants come out and score. Go right back down field and make it 2 score game again. {{USERNAME}} . #WeDemBoyz,2019-09-08,4,sports_&_gaming,1170818773974228992
Awesome win against {{USERNAME}} ‼️ Score: 1-0  Goal by Fresh. Triston Key⚽️  Very hard fought match against the colts! Great Game all around!  #GoCougs #BreakTheStreak,2019-09-08,4,sports_&_gaming,1170848863525244928
. {@saebyeolbe@} and cleaning up at Numbani in a playoff game  Name a more iconic duo.  #EverUpward #OWL2019,2019-09-08,4,sports_&_gaming,1170849166731501570
